regime,optimizer,seed,lr,wd,eps,step,loss,lr_scheduled,ms,status
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,0,1.404807686805725,1e-06,181.68320083618164,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,50,1.4139821529388428,5.1000000000000006e-05,485.0596162676811,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,100,1.0559957027435303,0.0001,768.2387511432171,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,150,0.4355878233909607,9.984630218530014e-05,1048.9295670092106,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,200,0.25446826219558716,9.938625865312251e-05,1328.8445430099964,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,250,0.12047413736581802,9.862301196726987e-05,1609.021599382162,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,300,0.09249608218669891,9.756177587652856e-05,1889.4659504890442,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,350,0.08145830780267715,9.620979969947759e-05,2169.4088928103447,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,400,0.06576728820800781,9.4576318804292e-05,2449.8786529004574,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,450,0.07216209918260574,9.267249152181379e-05,2745.51967638731,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,500,0.05191832035779953,9.051132292283771e-05,3027.154460400343,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,550,0.05498114228248596,8.810757598029093e-05,3307.7560590207577,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,600,0.050534091889858246,8.547767072315835e-05,3588.7038346230984,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,650,0.04420940577983856,8.263957207103507e-05,3870.054682523012,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,700,0.042763613164424896,7.961266711550922e-05,4244.325917541981,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,750,0.054759085178375244,7.641763268666831e-05,4526.996860921383,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,800,0.05075697600841522,7.307629410938363e-05,4809.9897247850895,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,850,0.048008739948272705,6.961147611421075e-05,5093.080124586821,ok
task_c_alpha_0.3,adamw,2047037706,0.0001,0.0,1e-08,900,0.03520248457789421,6.604684692133597e-05,5376.9243485331535,ok
